Date,Historical_Volatility
2018-11-23,0.2065606223417866
2018-11-26,0.20744889697484295
2018-11-27,0.20729150469904928
2018-11-28,0.20871013944195177
2018-11-29,0.20874838373744453
2018-11-30,0.20618504840769009
2018-12-03,0.208611502216629
2018-12-04,0.228921944672039
2018-12-06,0.22846676436742283
2018-12-07,0.22065152423674805
2018-12-10,0.2134473788278435
2018-12-11,0.20758671306364695
2018-12-12,0.207297221579159
2018-12-13,0.20204863601581036
2018-12-14,0.20624923298269346
2018-12-17,0.21051547460835118
2018-12-18,0.2102887972119056
2018-12-19,0.21235784913253605
2018-12-20,0.21373997494015654
2018-12-21,0.20578826739250466
2018-12-24,0.21535427835342202
2018-12-26,0.2682137139168234
2018-12-27,0.2661902551087632
2018-12-28,0.26620226813903913
2018-12-31,0.2678140597319972
2019-01-02,0.2652480036120836
2019-01-03,0.27235860141294777
2019-01-04,0.29055377051802034
2019-01-07,0.28743267708426756
2019-01-08,0.28889383543011105
2019-01-09,0.2887009024672445
2019-01-10,0.2851458054265104
2019-01-11,0.28489326284214017
2019-01-14,0.2759183483645164
2019-01-15,0.27831593265238647
2019-01-16,0.27706199031556056
2019-01-17,0.2759079168261428
2019-01-18,0.26328284401963004
2019-01-22,0.26634965479769485
2019-01-23,0.2576039302868143
2019-01-24,0.25758596656611343
2019-01-25,0.2586978334972762
2019-01-28,0.25935288368913273
2019-01-29,0.25938841756629355
2019-01-30,0.2566574957919445
2019-01-31,0.24885479077598485
2019-02-01,0.24880799611971946
2019-02-04,0.24345764165999503
2019-02-05,0.23696145614038874
2019-02-06,0.22643085592523932
2019-02-07,0.21038080335893272
2019-02-08,0.1620599770329832
2019-02-11,0.16137810799391894
2019-02-12,0.16341946172440974
2019-02-13,0.16269405742669896
2019-02-14,0.16348863437924804
2019-02-15,0.14204225283606772
2019-02-19,0.1097976627175117
2019-02-20,0.10924107833743324
2019-02-21,0.10888431860879612
2019-02-22,0.10937986986987339
2019-02-25,0.1092943496192793
2019-02-26,0.10944536035648536
2019-02-27,0.10738608716955733
2019-02-28,0.10567852099584339
2019-03-01,0.10656011450496845
2019-03-04,0.10682750350617964
2019-03-05,0.10168040888062667
2019-03-06,0.09356703948424283
2019-03-07,0.0978039036213448
2019-03-08,0.09833314810197197
2019-03-11,0.10375601480192584
2019-03-12,0.09997950955288998
2019-03-13,0.10054351408492813
2019-03-14,0.09240814046736807
2019-03-15,0.0905946764907208
2019-03-18,0.09081267375278398
2019-03-19,0.08954854940865489
2019-03-20,0.08977010365005346
2019-03-21,0.09354260316337072
2019-03-22,0.10648961895142009
2019-03-25,0.1066409345893326
2019-03-26,0.10806622644934152
2019-03-27,0.10363054758215669
2019-03-28,0.10375129661700451
2019-03-29,0.10462548679556162
2019-04-01,0.10520435168267031
2019-04-02,0.10524364779186005
2019-04-03,0.10527129161715473
2019-04-04,0.10439623197994526
2019-04-05,0.10375920350603825
2019-04-08,0.10376000913950814
2019-04-09,0.10574294951754747
2019-04-10,0.1058707880183254
2019-04-11,0.10526066469832603
2019-04-12,0.1051303813075738
2019-04-15,0.10417419324971507
2019-04-16,0.10394403834540204
2019-04-17,0.1018385045595724
2019-04-18,0.09763391038344094
2019-04-22,0.09693941466600564
2019-04-23,0.09163291987998672
2019-04-24,0.09226753703337122
2019-04-25,0.09100998670010788
2019-04-26,0.09125347595315297
2019-04-29,0.09067324596574099
2019-04-30,0.0904184975775577
2019-05-01,0.09390253398349875
2019-05-02,0.0936272213870967
2019-05-03,0.09258865559785887
2019-05-06,0.07272987121710076
2019-05-07,0.08945357648081421
2019-05-08,0.0878045439217907
2019-05-09,0.08706449586744673
2019-05-10,0.0871019630242364
2019-05-13,0.11134912293124609
2019-05-14,0.10851463719491716
2019-05-15,0.10999244274614395
2019-05-16,0.11292535177558567
2019-05-17,0.11401904889519239
2019-05-20,0.1145913105987051
2019-05-21,0.11750964455911049
2019-05-22,0.11650694392955639
2019-05-23,0.12071630783489418
2019-05-24,0.12085028651975188
2019-05-28,0.12078076242389348
2019-05-29,0.12189142222663671
2019-05-30,0.12219514078422355
2019-05-31,0.1269181631480182
2019-06-03,0.1265615460926797
2019-06-04,0.14332053698396566
2019-06-05,0.14292064863593257
2019-06-06,0.1444505375947427
2019-06-07,0.1482001313922845
2019-06-10,0.14819237692421178
2019-06-11,0.14811315362195035
2019-06-12,0.14809213223694415
